0 verbose cli /usr/bin/node /tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_npx/531a256430e91eb0/node_modules/.bin/npm
1 info using npm@11.18.0
2 info using node@v22.22.1
3 silly config load:file:/tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_npx/531a256430e91eb0/node_modules/npm/npmrc
4 silly config load:file:/tmp/pi-lens-lockfile-complete-hw37Xu/tree/.npmrc
5 silly config load:file:/home/akis/.npmrc
6 silly config load:file:/etc/npmrc
7 verbose title npm install
8 verbose argv "install" "--ignore-scripts" "--no-audit" "--no-fund"
84 http cache resolve-pkg-maps@https://registry.npmjs.org/resolve-pkg-maps/-/resolve-pkg-maps-1.0.0.tgz 0ms (cache hit)
85 http cache require-from-string@https://registry.npmjs.org/require-from-string/-/require-from-string-2.0.2.tgz 0ms (cache hit)
86 http cache rechoir@https://registry.npmjs.org/rechoir/-/rechoir-0.8.0.tgz 0ms (cache hit)
87 http cache resolve@https://registry.npmjs.org/resolve/-/resolve-1.22.12.tgz 0ms (cache hit)
88 http cache regexp-tree@https://registry.npmjs.org/regexp-tree/-/regexp-tree-0.1.27.tgz 0ms (cache hit)
89 http cache qs@https://registry.npmjs.org/qs/-/qs-6.16.0.tgz 0ms (cache hit)
90 http cache publint@https://registry.npmjs.org/publint/-/publint-0.3.24.tgz 0ms (cache hit)
91 http cache prompts@https://registry.npmjs.org/prompts/-/prompts-2.4.2.tgz 0ms (cache hit)
92 http cache progress@https://registry.npmjs.org/progress/-/progress-2.0.3.tgz 0ms (cache hit)
93 http cache pretty-ms@https://registry.npmjs.org/pretty-ms/-/pretty-ms-9.3.1.tgz 0ms (cache hit)
94 http cache postcss@https://registry.npmjs.org/postcss/-/postcss-8.5.28.tgz 0ms (cache hit)
95 http cache picomatch@https://registry.npmjs.org/picomatch/-/picomatch-4.0.5.tgz 0ms (cache hit)
96 http cache path-parse@https://registry.npmjs.org/path-parse/-/path-parse-1.0.7.tgz 0ms (cache hit)
97 http cache picocolors@https://registry.npmjs.org/picocolors/-/picocolors-1.1.1.tgz 0ms (cache hit)
98 http cache path-key@https://registry.npmjs.org/path-key/-/path-key-3.1.1.tgz 0ms (cache hit)
99 http cache pidusage@https://registry.npmjs.org/pidusage/-/pidusage-4.0.1.tgz 0ms (cache hit)
100 http cache parse-ms@https://registry.npmjs.org/parse-ms/-/parse-ms-4.0.0.tgz 0ms (cache hit)
101 http cache package-manager-detector@https://registry.npmjs.org/package-manager-detector/-/package-manager-detector-1.8.0.tgz 0ms (cache hit)
102 http cache oxlint-tsgolint@https://registry.npmjs.org/oxlint-tsgolint/-/oxlint-tsgolint-7.0.2001.tgz 0ms (cache hit)
103 http cache oxlint@https://registry.npmjs.org/oxlint/-/oxlint-1.81.0.tgz 0ms (cache hit)
104 http cache oxfmt@https://registry.npmjs.org/oxfmt/-/oxfmt-0.66.0.tgz 0ms (cache hit)
105 http cache oxc-parser@https://registry.npmjs.org/oxc-parser/-/oxc-parser-0.147.0.tgz 0ms (cache hit)
106 http cache oxc-resolver@https://registry.npmjs.org/oxc-resolver/-/oxc-resolver-11.24.2.tgz 0ms (cache hit)
107 http cache obug@https://registry.npmjs.org/obug/-/obug-2.2.1.tgz 0ms (cache hit)
108 http cache object-inspect@https://registry.npmjs.org/object-inspect/-/object-inspect-1.13.4.tgz 0ms (cache hit)
109 http cache npm-run-path@https://registry.npmjs.org/npm-run-path/-/npm-run-path-6.0.0.tgz 0ms (cache hit)
110 http cache node-releases@https://registry.npmjs.org/node-releases/-/node-releases-2.0.54.tgz 0ms (cache hit)
111 http cache nanoid@https://registry.npmjs.org/nanoid/-/nanoid-3.3.18.tgz 0ms (cache hit)
112 http cache mutation-testing-report-schema@https://registry.npmjs.org/mutation-testing-report-schema/-/mutation-testing-report-schema-3.8.4.tgz 0ms (cache hit)
113 http cache mute-stream@https://registry.npmjs.org/mute-stream/-/mute-stream-3.0.0.tgz 0ms (cache hit)
114 http cache mutation-testing-metrics@https://registry.npmjs.org/mutation-testing-metrics/-/mutation-testing-metrics-3.8.4.tgz 0ms (cache hit)
115 http cache mutation-testing-elements@https://registry.npmjs.org/mutation-testing-elements/-/mutation-testing-elements-3.8.4.tgz 0ms (cache hit)
116 http cache mri@https://registry.npmjs.org/mri/-/mri-1.2.0.tgz 0ms (cache hit)
117 http cache minimatch@https://registry.npmjs.org/minimatch/-/minimatch-10.2.6.tgz 0ms (cache hit)
118 http cache minimist@https://registry.npmjs.org/minimist/-/minimist-1.2.8.tgz 0ms (cache hit)
119 http cache mutation-server-protocol@https://registry.npmjs.org/mutation-server-protocol/-/mutation-server-protocol-0.4.1.tgz 0ms (cache hit)
120 http cache minimalistic-assert@https://registry.npmjs.org/minimalistic-assert/-/minimalistic-assert-1.0.1.tgz 0ms (cache hit)
121 http cache math-intrinsics@https://registry.npmjs.org/math-intrinsics/-/math-intrinsics-1.1.0.tgz 0ms (cache hit)
122 http cache magicast@https://registry.npmjs.org/magicast/-/magicast-0.5.4.tgz 0ms (cache hit)
123 http cache marked@https://registry.npmjs.org/marked/-/marked-18.0.5.tgz 0ms (cache hit)
124 http cache lru-cache@https://registry.npmjs.org/lru-cache/-/lru-cache-11.5.2.tgz 0ms (cache hit)
125 http cache magic-string@https://registry.npmjs.org/magic-string/-/magic-string-1.2.3.tgz 0ms (cache hit)
126 http cache lightningcss-linux-x64-musl@https://registry.npmjs.org/lightningcss-linux-x64-musl/-/lightningcss-linux-x64-musl-1.33.0.tgz 0ms (cache hit)
127 http cache lodash.groupby@https://registry.npmjs.org/lodash.groupby/-/lodash.groupby-4.6.0.tgz 0ms (cache hit)
128 http cache lightningcss-linux-x64-gnu@https://registry.npmjs.org/lightningcss-linux-x64-gnu/-/lightningcss-linux-x64-gnu-1.33.0.tgz 0ms (cache hit)
129 http cache knip@https://registry.npmjs.org/knip/-/knip-6.34.0.tgz 0ms (cache hit)
130 http cache json5@https://registry.npmjs.org/json5/-/json5-2.2.3.tgz 0ms (cache hit)
131 http cache kleur@https://registry.npmjs.org/kleur/-/kleur-3.0.3.tgz 0ms (cache hit)
132 http cache lightningcss@https://registry.npmjs.org/lightningcss/-/lightningcss-1.33.0.tgz 0ms (cache hit)
133 http cache json-schema-traverse@https://registry.npmjs.org/json-schema-traverse/-/json-schema-traverse-1.0.0.tgz 0ms (cache hit)
134 http cache jsesc@https://registry.npmjs.org/jsesc/-/jsesc-3.1.0.tgz 0ms (cache hit)
135 http cache json-rpc-2.0@https://registry.npmjs.org/json-rpc-2.0/-/json-rpc-2.0-1.8.0.tgz 0ms (cache hit)
136 http cache jscpd-linux-x64-gnu@https://registry.npmjs.org/jscpd-linux-x64-gnu/-/jscpd-linux-x64-gnu-5.1.2.tgz 0ms (cache hit)
137 http cache jscpd-linux-x64-musl@https://registry.npmjs.org/jscpd-linux-x64-musl/-/jscpd-linux-x64-musl-5.1.2.tgz 0ms (cache hit)
138 http cache js-yaml@https://registry.npmjs.org/js-yaml/-/js-yaml-5.4.1.tgz 0ms (cache hit)
139 http cache jscpd@https://registry.npmjs.org/jscpd/-/jscpd-5.1.2.tgz 0ms (cache hit)
140 http cache js-tokens@https://registry.npmjs.org/js-tokens/-/js-tokens-10.0.0.tgz 0ms (cache hit)
141 http cache jiti@https://registry.npmjs.org/jiti/-/jiti-2.7.0.tgz 0ms (cache hit)
142 http cache js-md4@https://registry.npmjs.org/js-md4/-/js-md4-0.3.2.tgz 0ms (cache hit)
143 http cache isexe@https://registry.npmjs.org/isexe/-/isexe-2.0.0.tgz 0ms (cache hit)
144 http cache is-unicode-supported@https://registry.npmjs.org/is-unicode-supported/-/is-unicode-supported-2.1.0.tgz 0ms (cache hit)
145 http cache is-stream@https://registry.npmjs.org/is-stream/-/is-stream-4.0.1.tgz 0ms (cache hit)
146 http cache is-path-inside@https://registry.npmjs.org/is-path-inside/-/is-path-inside-4.0.0.tgz 0ms (cache hit)
147 http cache is-plain-obj@https://registry.npmjs.org/is-plain-obj/-/is-plain-obj-4.1.0.tgz 0ms (cache hit)
148 http cache is-core-module@https://registry.npmjs.org/is-core-module/-/is-core-module-2.16.2.tgz 0ms (cache hit)
149 http cache is-installed-globally@https://registry.npmjs.org/is-installed-globally/-/is-installed-globally-1.0.0.tgz 0ms (cache hit)
150 http cache ini@https://registry.npmjs.org/ini/-/ini-4.1.1.tgz 0ms (cache hit)
151 http cache interpret@https://registry.npmjs.org/interpret/-/interpret-3.1.1.tgz 0ms (cache hit)
152 http cache inherits@https://registry.npmjs.org/inherits/-/inherits-2.0.4.tgz 0ms (cache hit)
153 http cache import-meta-resolve@https://registry.npmjs.org/import-meta-resolve/-/import-meta-resolve-4.2.0.tgz 0ms (cache hit)
154 http cache iconv-lite@https://registry.npmjs.org/iconv-lite/-/iconv-lite-0.7.3.tgz 0ms (cache hit)
155 http cache ignore@https://registry.npmjs.org/ignore/-/ignore-7.0.6.tgz 0ms (cache hit)
156 http cache husky@https://registry.npmjs.org/husky/-/husky-9.1.7.tgz 0ms (cache hit)
157 http cache human-signals@https://registry.npmjs.org/human-signals/-/human-signals-8.0.1.tgz 0ms (cache hit)
158 http cache has-symbols@https://registry.npmjs.org/has-symbols/-/has-symbols-1.1.0.tgz 0ms (cache hit)
159 http cache hasown@https://registry.npmjs.org/hasown/-/hasown-2.0.4.tgz 0ms (cache hit)
160 http cache has-flag@https://registry.npmjs.org/has-flag/-/has-flag-4.0.0.tgz 0ms (cache hit)
161 http cache graceful-fs@https://registry.npmjs.org/graceful-fs/-/graceful-fs-4.2.11.tgz 0ms (cache hit)
162 http cache gopd@https://registry.npmjs.org/gopd/-/gopd-1.2.0.tgz 0ms (cache hit)
163 http cache global-directory@https://registry.npmjs.org/global-directory/-/global-directory-4.0.1.tgz 0ms (cache hit)
164 http cache get-tsconfig@https://registry.npmjs.org/get-tsconfig/-/get-tsconfig-4.14.3.tgz 1ms (cache hit)
165 http cache get-stream@https://registry.npmjs.org/get-stream/-/get-stream-9.0.1.tgz 0ms (cache hit)
166 http cache get-proto@https://registry.npmjs.org/get-proto/-/get-proto-1.0.1.tgz 0ms (cache hit)
167 http cache get-intrinsic@https://registry.npmjs.org/get-intrinsic/-/get-intrinsic-1.3.0.tgz 0ms (cache hit)
168 http cache get-east-asian-width@https://registry.npmjs.org/get-east-asian-width/-/get-east-asian-width-1.6.0.tgz 0ms (cache hit)
169 http cache function-bind@https://registry.npmjs.org/function-bind/-/function-bind-1.1.2.tgz 0ms (cache hit)
170 http cache formatly@https://registry.npmjs.org/formatly/-/formatly-0.7.0.tgz 0ms (cache hit)
171 http cache gensync@https://registry.npmjs.org/gensync/-/gensync-1.0.0-beta.2.tgz 0ms (cache hit)
172 http cache figures@https://registry.npmjs.org/figures/-/figures-6.1.0.tgz 0ms (cache hit)
173 http cache fast-wrap-ansi@https://registry.npmjs.org/fast-wrap-ansi/-/fast-wrap-ansi-0.2.2.tgz 0ms (cache hit)
174 http cache fdir@https://registry.npmjs.org/fdir/-/fdir-6.5.0.tgz 0ms (cache hit)
175 http cache fd-package-json@https://registry.npmjs.org/fd-package-json/-/fd-package-json-2.0.0.tgz 0ms (cache hit)
176 http cache fast-uri@https://registry.npmjs.org/fast-uri/-/fast-uri-3.1.7.tgz 0ms (cache hit)
177 http cache fast-string-width@https://registry.npmjs.org/fast-string-width/-/fast-string-width-3.0.2.tgz 0ms (cache hit)
178 http cache fast-string-truncated-width@https://registry.npmjs.org/fast-string-truncated-width/-/fast-string-truncated-width-3.0.3.tgz 0ms (cache hit)
179 http cache fast-deep-equal@https://registry.npmjs.org/fast-deep-equal/-/fast-deep-equal-3.1.3.tgz 0ms (cache hit)
180 http cache expect-type@https://registry.npmjs.org/expect-type/-/expect-type-1.4.0.tgz 0ms (cache hit)
181 http cache execa@https://registry.npmjs.org/execa/-/execa-9.6.1.tgz 0ms (cache hit)
182 http cache escalade@https://registry.npmjs.org/escalade/-/escalade-3.2.0.tgz 0ms (cache hit)
183 http cache estree-walker@https://registry.npmjs.org/estree-walker/-/estree-walker-3.0.3.tgz 0ms (cache hit)
184 http cache es-module-lexer@https://registry.npmjs.org/es-module-lexer/-/es-module-lexer-2.3.2.tgz 0ms (cache hit)
185 http cache es-object-atoms@https://registry.npmjs.org/es-object-atoms/-/es-object-atoms-1.1.2.tgz 0ms (cache hit)
186 http cache es-errors@https://registry.npmjs.org/es-errors/-/es-errors-1.3.0.tgz 0ms (cache hit)
187 http cache enhanced-resolve@https://registry.npmjs.org/enhanced-resolve/-/enhanced-resolve-5.24.5.tgz 0ms (cache hit)
188 http cache es-define-property@https://registry.npmjs.org/es-define-property/-/es-define-property-1.0.1.tgz 0ms (cache hit)
189 http cache electron-to-chromium@https://registry.npmjs.org/electron-to-chromium/-/electron-to-chromium-1.5.423.tgz 0ms (cache hit)
190 http cache empathic@https://registry.npmjs.org/empathic/-/empathic-2.0.1.tgz 0ms (cache hit)
191 http cache emoji-regex@https://registry.npmjs.org/emoji-regex/-/emoji-regex-10.6.0.tgz 0ms (cache hit)
192 http cache dunder-proto@https://registry.npmjs.org/dunder-proto/-/dunder-proto-1.0.1.tgz 0ms (cache hit)
193 http cache detect-libc@https://registry.npmjs.org/detect-libc/-/detect-libc-2.1.2.tgz 0ms (cache hit)
194 http cache des.js@https://registry.npmjs.org/des.js/-/des.js-1.1.0.tgz 0ms (cache hit)
195 http cache dependency-cruiser@https://registry.npmjs.org/dependency-cruiser/-/dependency-cruiser-18.2.0.tgz 0ms (cache hit)
196 http cache diff-match-patch@https://registry.npmjs.org/diff-match-patch/-/diff-match-patch-1.0.5.tgz 0ms (cache hit)
197 http cache cross-spawn@https://registry.npmjs.org/cross-spawn/-/cross-spawn-7.0.6.tgz 0ms (cache hit)
198 http cache convert-source-map@https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz 0ms (cache hit)
199 http cache commander@https://registry.npmjs.org/commander/-/commander-15.0.0.tgz 0ms (cache hit)
200 http cache color-name@https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz 0ms (cache hit)
201 http cache color-convert@https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz 0ms (cache hit)
202 http cache chardet@https://registry.npmjs.org/chardet/-/chardet-2.2.0.tgz 0ms (cache hit)
203 http cache cli-width@https://registry.npmjs.org/cli-width/-/cli-width-4.1.0.tgz 0ms (cache hit)
204 http cache chalk@https://registry.npmjs.org/chalk/-/chalk-4.1.2.tgz 0ms (cache hit)
205 http cache chai@https://registry.npmjs.org/chai/-/chai-6.2.2.tgz 0ms (cache hit)
206 http cache caniuse-lite@https://registry.npmjs.org/caniuse-lite/-/caniuse-lite-1.0.30001810.tgz 0ms (cache hit)
207 http cache call-bind-apply-helpers@https://registry.npmjs.org/call-bind-apply-helpers/-/call-bind-apply-helpers-1.0.2.tgz 0ms (cache hit)
208 http cache browserslist@https://registry.npmjs.org/browserslist/-/browserslist-4.28.9.tgz 0ms (cache hit)
209 http cache brace-expansion@https://registry.npmjs.org/brace-expansion/-/brace-expansion-5.0.9.tgz 0ms (cache hit)
210 http cache call-bound@https://registry.npmjs.org/call-bound/-/call-bound-1.0.4.tgz 0ms (cache hit)
211 http cache baseline-browser-mapping@https://registry.npmjs.org/baseline-browser-mapping/-/baseline-browser-mapping-2.11.21.tgz 0ms (cache hit)
212 http cache balanced-match@https://registry.npmjs.org/balanced-match/-/balanced-match-4.0.4.tgz 0ms (cache hit)
213 http cache argparse@https://registry.npmjs.org/argparse/-/argparse-2.0.1.tgz 0ms (cache hit)
214 http cache assertion-error@https://registry.npmjs.org/assertion-error/-/assertion-error-2.0.1.tgz 0ms (cache hit)
215 http cache ast-v8-to-istanbul@https://registry.npmjs.org/ast-v8-to-istanbul/-/ast-v8-to-istanbul-1.0.6.tgz 0ms (cache hit)
216 http cache angular-html-parser@https://registry.npmjs.org/angular-html-parser/-/angular-html-parser-10.11.0.tgz 0ms (cache hit)
217 http cache ansi-styles@https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz 0ms (cache hit)
218 http cache ajv@https://registry.npmjs.org/ajv/-/ajv-8.20.0.tgz 0ms (cache hit)
219 http cache acorn-walk@https://registry.npmjs.org/acorn-walk/-/acorn-walk-8.3.5.tgz 0ms (cache hit)
220 http cache acorn-loose@https://registry.npmjs.org/acorn-loose/-/acorn-loose-8.5.2.tgz 0ms (cache hit)
221 http cache acorn-jsx@https://registry.npmjs.org/acorn-jsx/-/acorn-jsx-5.3.2.tgz 0ms (cache hit)
222 http cache acorn@https://registry.npmjs.org/acorn/-/acorn-8.18.0.tgz 0ms (cache hit)
223 http cache @vitest/spy@https://registry.npmjs.org/@vitest/spy/-/spy-5.0.0.tgz 0ms (cache hit)
224 http cache @vitest/mocker@https://registry.npmjs.org/@vitest/mocker/-/mocker-5.0.0.tgz 0ms (cache hit)
225 http cache acorn-jsx-walk@https://registry.npmjs.org/acorn-jsx-walk/-/acorn-jsx-walk-2.0.0.tgz 0ms (cache hit)
226 http cache @vitest/istanbul-lib-coverage@https://registry.npmjs.org/@vitest/istanbul-lib-coverage/-/istanbul-lib-coverage-1.0.1.tgz 0ms (cache hit)
227 http cache @vitest/istanbul-lib-report@https://registry.npmjs.org/@vitest/istanbul-lib-report/-/istanbul-lib-report-1.0.1.tgz 0ms (cache hit)
228 http cache @vitest/coverage-v8@https://registry.npmjs.org/@vitest/coverage-v8/-/coverage-v8-5.0.0.tgz 0ms (cache hit)
229 http cache @types/semver@https://registry.npmjs.org/@types/semver/-/semver-7.8.0.tgz 0ms (cache hit)
230 http cache @typescript/typescript-linux-x64@https://registry.npmjs.org/@typescript/typescript-linux-x64/-/typescript-linux-x64-7.0.2.tgz 0ms (cache hit)
231 http cache @types/pidusage@https://registry.npmjs.org/@types/pidusage/-/pidusage-2.0.5.tgz 0ms (cache hit)
232 http cache @types/jsesc@https://registry.npmjs.org/@types/jsesc/-/jsesc-2.5.1.tgz 0ms (cache hit)
233 http cache @types/node@https://registry.npmjs.org/@types/node/-/node-26.4.1.tgz 0ms (cache hit)
234 http cache @types/estree@https://registry.npmjs.org/@types/estree/-/estree-1.0.9.tgz 0ms (cache hit)
235 http cache @types/gensync@https://registry.npmjs.org/@types/gensync/-/gensync-1.0.5.tgz 0ms (cache hit)
236 http cache @types/chai@https://registry.npmjs.org/@types/chai/-/chai-5.2.3.tgz 0ms (cache hit)
237 http cache @types/deep-eql@https://registry.npmjs.org/@types/deep-eql/-/deep-eql-4.0.2.tgz 0ms (cache hit)
